,precision,recall,f1-score,support
akiec,0.36585365853658536,0.21428571428571427,0.2702702702702703,70.0
bcc,0.5054945054945055,0.45098039215686275,0.47668393782383417,102.0
bkl,0.3230769230769231,0.20192307692307693,0.2485207100591716,208.0
df,0.11363636363636363,0.5172413793103449,0.18633540372670807,29.0
mel,0.4656084656084656,0.39461883408071746,0.42718446601941745,223.0
nv,0.8737334372564303,0.8378176382660688,0.8553987027851965,1338.0
vasc,0.1893939393939394,0.8928571428571429,0.3125,28.0
accuracy,0.6766766766766766,0.6766766766766766,0.6766766766766766,0.6766766766766766
macro avg,0.4052567561433161,0.5013891682685612,0.39669907009779976,1998.0
weighted avg,0.7136409946878262,0.6766766766766766,0.6872734310441718,1998.0
