,precision,recall,f1-score,support
akiec,0.5862068965517241,0.4857142857142857,0.53125,70.0
bcc,0.5234375,0.6568627450980392,0.5826086956521739,102.0
bkl,0.44412607449856734,0.7451923076923077,0.5565529622980251,208.0
df,0.3125,0.5172413793103449,0.38961038961038963,29.0
mel,0.4171270718232044,0.6771300448430493,0.5162393162393163,223.0
nv,0.9597644749754661,0.7309417040358744,0.8298684768773865,1338.0
vasc,0.6764705882352942,0.8214285714285714,0.7419354838709677,28.0
accuracy,0.7122122122122122,0.7122122122122122,0.7122122122122122,0.7122122122122122
macro avg,0.5599475151548938,0.6620730054460676,0.5925807606497513,1998.0
weighted avg,0.7967923985278575,0.7122122122122122,0.7357031469193743,1998.0
